datecode,year,month,day,temp,wind,flow
36506,1999,12,12,32.296,2.0428,1.83E+05
36507,1999,12,13,36.636,9.485,1.81E+05
36508,1999,12,14,34.985,4.9898,1.89E+05
36509,1999,12,15,30.889,9.5722,2.03E+05
36510,1999,12,16,18.473,7.578,2.54E+05
36511,1999,12,17,16.142,5.7495,2.70E+05
36512,1999,12,18,24.662,6.3488,2.22E+05
36513,1999,12,19,30.271,9.544,2.02E+05
36514,1999,12,20,5.8098,13.418,3.27E+05
36515,1999,12,21,7.3514,6.1053,3.29E+05
36516,1999,12,22,7.5954,7.0597,3.20E+05
36517,1999,12,23,9.2917,7.2733,3.12E+05
36518,1999,12,24,13.142,6.8258,2.82E+05
36519,1999,12,25,28.587,14.696,2.38E+05
36520,1999,12,26,22.959,12.067,2.44E+05
36521,1999,12,27,16.168,11.064,2.82E+05
36522,1999,12,28,28.42,7.8358,2.46E+05
36523,1999,12,29,38.857,11.398,1.87E+05
36524,1999,12,30,31.567,7.0133,2.00E+05
36525,1999,12,31,34.771,8.6874,1.77E+05
36526,2000,1,1,39.598,6.564,1.51E+05
36527,2000,1,2,39.255,12.296,1.55E+05
36528,2000,1,3,29.947,11.975,2.18E+05
36529,2000,1,4,19.922,7.4256,2.57E+05
36530,2000,1,5,23.997,11.653,2.46E+05
36531,2000,1,6,26.715,10.437,2.35E+05
36532,2000,1,7,23.98,9.5806,2.32E+05
36533,2000,1,8,35.325,6.8758,1.77E+05
36534,2000,1,9,37.649,7.029,1.74E+05
36535,2000,1,10,36.86,14.001,1.93E+05
36536,2000,1,11,26.05,9.4327,2.31E+05
36537,2000,1,12,25.392,12.272,2.45E+05
36538,2000,1,13,17.117,5.8681,2.74E+05
36539,2000,1,14,24.019,9.3039,2.61E+05
36540,2000,1,15,32.863,9.6322,2.03E+05
36541,2000,1,16,21.679,12.91,2.51E+05
36542,2000,1,17,22.786,9.8532,2.68E+05
36543,2000,1,18,22.732,7.8339,2.60E+05
36544,2000,1,19,16.709,8.9318,2.83E+05
36545,2000,1,20,2.9291,9.8993,3.33E+05
36546,2000,1,21,7.4839,4.9743,3.22E+05
36547,2000,1,22,18.911,8.9055,2.65E+05
36548,2000,1,23,5.1229,9.076,3.17E+05
36549,2000,1,24,12.951,9.4402,3.15E+05
36550,2000,1,25,13.557,11.714,3.10E+05
36551,2000,1,26,13.793,7.5222,2.99E+05
36552,2000,1,27,17.035,3.5404,2.76E+05
36553,2000,1,28,20.874,3.7769,2.50E+05
36554,2000,1,29,26.857,10.021,2.34E+05
36555,2000,1,30,23.683,7.4871,2.41E+05
36556,2000,1,31,23.692,10.205,2.66E+05
36557,2000,2,1,20.872,7.0636,2.61E+05
36558,2000,2,2,25.319,10.45,2.60E+05
36559,2000,2,3,29.818,11.039,2.35E+05
36560,2000,2,4,22.491,9.3473,2.49E+05
36561,2000,2,5,22.669,5.7847,2.37E+05
36562,2000,2,6,28.528,7.3427,2.31E+05
36563,2000,2,7,21.244,5.1582,2.45E+05
36564,2000,2,8,31.054,11.935,2.30E+05
36565,2000,2,9,35.517,8.7008,1.85E+05
36566,2000,2,10,26.88,11.243,2.30E+05
36567,2000,2,11,16.898,5.4315,2.59E+05
36568,2000,2,12,27.422,5.9151,2.19E+05
36569,2000,2,13,25.603,11.388,2.31E+05
36570,2000,2,14,25.708,5.8186,2.35E+05
36571,2000,2,15,31.995,12.724,2.22E+05
36572,2000,2,16,22.523,5.2849,2.42E+05
36573,2000,2,17,29.135,9.8016,2.30E+05
36574,2000,2,18,27.2,10.14,2.35E+05
36575,2000,2,19,26.623,9.7714,2.26E+05
36576,2000,2,20,27.111,7.7498,2.19E+05
36577,2000,2,21,40.819,8.61,1.76E+05
36578,2000,2,22,48.961,7.6603,1.25E+05
36579,2000,2,23,50.59,9.3788,1.15E+05
36580,2000,2,24,45.95,6.4445,1.38E+05
36581,2000,2,25,54.075,11.386,1.16E+05
36582,2000,2,26,49.934,13.026,1.05E+05
36583,2000,2,27,40.631,9.2129,1.48E+05
36584,2000,2,28,45.295,9.7298,1.47E+05
36585,2000,2,29,50.987,11.776,1.17E+05
36586,2000,3,1,36.381,11.679,1.82E+05
36587,2000,3,2,30.604,4.0754,1.94E+05
36588,2000,3,3,37.783,5.4264,1.63E+05
36589,2000,3,4,45.062,4.1309,1.24E+05
36590,2000,3,5,44.983,3.5447,1.27E+05
36591,2000,3,6,58.007,9.8204,99479
36592,2000,3,7,64.832,8.7731,68578
36593,2000,3,8,61.064,13.424,73125
36594,2000,3,9,28.092,10.392,2.02E+05
36595,2000,3,10,27.711,6.8353,2.17E+05
36596,2000,3,11,29.272,6.9699,1.97E+05
36597,2000,3,12,37.128,5.1493,1.64E+05
36598,2000,3,13,37.006,6.8403,1.81E+05
36599,2000,3,14,45.434,8.5394,1.43E+05
36600,2000,3,15,38.007,12.156,1.66E+05
36601,2000,3,16,29.473,10.475,2.06E+05
36602,2000,3,17,30.064,9.2103,1.99E+05
36603,2000,3,18,35.172,8.1136,1.76E+05
36604,2000,3,19,37.184,10.707,1.86E+05
36605,2000,3,20,43.839,5.897,1.58E+05
36606,2000,3,21,46.772,3.2991,1.32E+05
36607,2000,3,22,48.769,3.4928,1.16E+05
36608,2000,3,23,51.702,8.7039,1.11E+05
36609,2000,3,24,54.582,10.336,98346
36610,2000,3,25,48.111,12.018,1.07E+05
36611,2000,3,26,50.119,12.298,1.09E+05
36612,2000,3,27,41.246,11.654,1.48E+05
36613,2000,3,28,37.516,8.4204,1.72E+05
36614,2000,3,29,37.093,4.2673,1.66E+05
36615,2000,3,30,40.327,3.9414,1.49E+05
36616,2000,3,31,52.266,6.3305,1.04E+05
36617,2000,4,1,47.517,5.0453,1.10E+05
36618,2000,4,2,49.629,7.4766,1.03E+05
36619,2000,4,3,42.891,13.256,1.39E+05
36620,2000,4,4,36.101,7.5306,1.84E+05
36621,2000,4,5,51.381,16.154,1.38E+05
36622,2000,4,6,48.29,10.136,1.14E+05
36623,2000,4,7,30.443,16.437,2.09E+05
36624,2000,4,8,37.057,9.6356,1.64E+05
36625,2000,4,9,41.183,9.9725,1.41E+05
36626,2000,4,10,33.713,8.5912,1.91E+05
36627,2000,4,11,33.901,6.2351,1.96E+05
36628,2000,4,12,40.415,8.8524,1.58E+05
36629,2000,4,13,50.27,9.0114,1.34E+05
36630,2000,4,14,62.809,11.88,69118
36631,2000,4,15,41.532,13.599,1.16E+05
36632,2000,4,16,39.439,13.015,1.56E+05
36633,2000,4,17,39.082,6.3245,1.72E+05
36634,2000,4,18,46.61,4.8813,1.30E+05
36635,2000,4,19,46.811,13.395,1.47E+05
36636,2000,4,20,42.335,17.671,1.59E+05
36637,2000,4,21,44.164,6.6229,1.31E+05
36638,2000,4,22,51.176,6.2554,95504
36639,2000,4,23,48.01,6.4897,1.09E+05
36640,2000,4,24,48.944,10.315,1.16E+05
36641,2000,4,25,49.845,6.6951,1.10E+05
36642,2000,4,26,55.11,4.4707,91907
36643,2000,4,27,54.931,3.9946,88947
36644,2000,4,28,49.891,10.3,91011
36645,2000,4,29,46.115,5.6561,1.03E+05
36646,2000,4,30,57.801,6.2905,76749
36647,2000,5,1,53.288,6.1049,88699
36648,2000,5,2,56.544,5.6224,84431
36649,2000,5,3,66.627,9.2779,65734
36650,2000,5,4,71.684,9.0341,60000
36651,2000,5,5,73.342,8.9575,53490
36652,2000,5,6,74.027,10.561,47721
36653,2000,5,7,71.97,8.1381,51530
36654,2000,5,8,69.206,8.9862,60677
36655,2000,5,9,51.62,8.6936,79589
36656,2000,5,10,58.01,7.9962,71956
36657,2000,5,11,65.52,8.3396,68053
36658,2000,5,12,58.657,10.128,64905
36659,2000,5,13,47.201,11.807,87365
36660,2000,5,14,51.863,8.1444,84534
36661,2000,5,15,59.448,6.7291,73063
36662,2000,5,16,54.881,5.5353,79618
36663,2000,5,17,55.068,9.6537,89583
36664,2000,5,18,45.445,15.407,1.26E+05
36665,2000,5,19,46.645,6.3442,1.20E+05
36666,2000,5,20,53.03,4.2523,81073
36667,2000,5,21,60.434,7.2627,67958
36668,2000,5,22,65.184,5.3546,69061
36669,2000,5,23,69.874,8.0232,60941
36670,2000,5,24,64.408,12.395,62543
36671,2000,5,25,62.316,6.7336,62558
36672,2000,5,26,56.097,9.2495,65412
36673,2000,5,27,53.992,10.491,74083
36674,2000,5,28,50.845,6.1924,82850
36675,2000,5,29,58.04,6.4999,66654
36676,2000,5,30,66.316,6.2574,65453
36677,2000,5,31,61.015,7.5154,70219
36678,2000,6,1,68.912,10.576,60903
36679,2000,6,2,55.845,5.0665,65106
36680,2000,6,3,55.634,4.5523,60298
36681,2000,6,4,52.22,9.5822,77811
36682,2000,6,5,55.061,8.368,83594
36683,2000,6,6,63.053,5.3529,65417
36684,2000,6,7,70.347,10.164,59356
36685,2000,6,8,78.586,9.4819,56706
36686,2000,6,9,79.021,11.236,51114
36687,2000,6,10,78.617,11.611,43765
36688,2000,6,11,60.937,10.015,52627
36689,2000,6,12,55.894,6.8698,72443
36690,2000,6,13,66.373,8.1227,61363
36691,2000,6,14,66.749,11.344,58473
36692,2000,6,15,70.561,12.528,56884
36693,2000,6,16,61.973,8.9691,54457
36694,2000,6,17,59.677,4.9773,49894
36695,2000,6,18,65.368,6.4328,50112
36696,2000,6,19,71.12,10.157,55854
36697,2000,6,20,72.731,11.477,55703
36698,2000,6,21,72.043,14.158,55926
36699,2000,6,22,69.012,6.0398,55931
36700,2000,6,23,69.885,6.039,50022
36701,2000,6,24,68.763,5.7646,43554
36702,2000,6,25,75.712,5.6419,45787
36703,2000,6,26,69.283,9.2338,56212
36704,2000,6,27,64.862,4.6341,57061
36705,2000,6,28,60.674,5.7381,60323
36706,2000,6,29,65.996,6.0131,57748
36707,2000,6,30,70.607,7.3934,49232
36708,2000,7,1,74.125,8.2227,40007
36709,2000,7,2,69.084,8.3248,41036
36710,2000,7,3,64.543,5.1331,44196
36711,2000,7,4,68.718,4.6459,44251
36712,2000,7,5,71.228,4.9756,54099
36713,2000,7,6,67.085,9.2365,54959
36714,2000,7,7,67.493,8.2049,49352
36715,2000,7,8,72.984,8.8954,43668
36716,2000,7,9,76.131,5.8698,44337
36717,2000,7,10,68.774,7.4047,54738
36718,2000,7,11,68.76,7.2242,54971
36719,2000,7,12,71.131,5.3257,53671
36720,2000,7,13,77.705,7.2088,52714
36721,2000,7,14,73.747,6.6959,47394
36722,2000,7,15,70.121,6.0932,41481
36723,2000,7,16,74.617,6.0922,44056
36724,2000,7,17,70.367,9.5265,52933
36725,2000,7,18,60.908,8.027,55362
36726,2000,7,19,62.962,5.2601,55357
36727,2000,7,20,65.695,7.5396,54656
36728,2000,7,21,64.895,5.9793,49860
36729,2000,7,22,61.489,5.1255,43425
36730,2000,7,23,64.376,3.4022,47177
36731,2000,7,24,68.261,5.7209,54307
36732,2000,7,25,71.482,7.798,52596
36733,2000,7,26,73.77,6.8306,53192
36734,2000,7,27,73.82,4.7474,52442
36735,2000,7,28,69.227,7.7107,46902
36736,2000,7,29,70.544,9.5831,41808
36737,2000,7,30,69.49,8.4476,45670
36738,2000,7,31,69.596,6.3317,54085
36739,2000,8,1,74.085,5.8145,52242
36740,2000,8,2,67.651,10.007,54305
36741,2000,8,3,65.388,5.2264,54416
36742,2000,8,4,70.36,5.4771,47324
36743,2000,8,5,68.256,8.2363,42231
36744,2000,8,6,73.8,8.4552,44008
36745,2000,8,7,76.396,8.246,53577
36746,2000,8,8,75.327,7.1,53438
36747,2000,8,9,72.19,6.3106,54168
36748,2000,8,10,72.582,5.3434,52640
36749,2000,8,11,69.343,5.0673,48723
36750,2000,8,12,72.885,6.3714,40960
36751,2000,8,13,73.956,5.2328,43910
36752,2000,8,14,77.301,7.7879,52719
36753,2000,8,15,73.566,9.0984,53207
36754,2000,8,16,65.857,8.879,53007
36755,2000,8,17,64.859,6.4966,52753
36756,2000,8,18,64.737,5.4938,50532
36757,2000,8,19,62.687,5.8876,43262
36758,2000,8,20,64.366,8.3701,46753
36759,2000,8,21,70.469,7.278,54405
36760,2000,8,22,71.275,4.9305,54344
36761,2000,8,23,70.522,3.6439,54127
36762,2000,8,24,70.771,4.815,53857
36763,2000,8,25,73.022,5.6483,46752
36764,2000,8,26,70.012,6.1896,40410
36765,2000,8,27,68.95,7.8981,46079
36766,2000,8,28,73.967,8.0176,53804
36767,2000,8,29,70.25,8.7419,55125
36768,2000,8,30,73.834,8.4533,54732
36769,2000,8,31,79.614,7.4599,53738
36770,2000,9,1,74.532,8.0775,45390
36771,2000,9,2,73.657,7.3369,37027
36772,2000,9,3,68.631,9.9007,35626
36773,2000,9,4,59.76,11.625,47841
36774,2000,9,5,58.911,8.3511,57179
36775,2000,9,6,64.593,7.9327,56320
36776,2000,9,7,72.668,6.7962,53236
36777,2000,9,8,68.985,5.8722,48125
36778,2000,9,9,75.216,9.5611,41029
36779,2000,9,10,75.066,7.8879,43144
36780,2000,9,11,65.425,10.96,57417
36781,2000,9,12,60.06,5.8508,58534
36782,2000,9,13,66.424,6.9347,56166
36783,2000,9,14,58.322,9.9581,59796
36784,2000,9,15,51.652,6.8326,64633
36785,2000,9,16,60.631,7.9278,49029
36786,2000,9,17,64.43,4.9106,49517
36787,2000,9,18,74.321,10.667,54028
36788,2000,9,19,66.638,8.2297,53954
36789,2000,9,20,51.157,10.436,68978
36790,2000,9,21,54.273,6.7742,69134
36791,2000,9,22,56.84,7.8274,67249
36792,2000,9,23,52.585,8.731,59480
36793,2000,9,24,47.883,6.9024,77794
36794,2000,9,25,49.561,5.0814,95260
36795,2000,9,26,58.306,7.9393,73062
36796,2000,9,27,51.721,7.9831,84613
36797,2000,9,28,54.27,7.2743,78832
36798,2000,9,29,63.631,10.572,56893
36799,2000,9,30,66.072,9.7565,47019
36800,2000,10,1,71.137,12.141,48750
36801,2000,10,2,60.017,5.6264,61175
36802,2000,10,3,56.374,6.9382,67513
36803,2000,10,4,53.128,7.3673,77487
36804,2000,10,5,46.259,9.5742,1.02E+05
36805,2000,10,6,37.077,11.247,1.37E+05
36806,2000,10,7,38.732,12.671,1.37E+05
36807,2000,10,8,37.477,8.136,1.45E+05
36808,2000,10,9,45.42,6.6588,1.31E+05
36809,2000,10,10,50.438,6.4109,1.08E+05
36810,2000,10,11,52.795,5.63,94461
36811,2000,10,12,62.56,8.7753,70752
36812,2000,10,13,68.163,10.841,55291
36813,2000,10,14,61.476,6.9996,49639
36814,2000,10,15,49.214,3.6762,78713
36815,2000,10,16,48.597,2.87,97816
36816,2000,10,17,49.749,3.5659,1.02E+05
36817,2000,10,18,56.351,4.3921,79114
36818,2000,10,19,63.238,8.5642,66857
36819,2000,10,20,61.426,7.2897,58561
36820,2000,10,21,53.837,7.9367,63874
36821,2000,10,22,58.959,4.5413,64588
36822,2000,10,23,62.611,3.3464,67825
36823,2000,10,24,59.141,4.4748,67130
36824,2000,10,25,60.627,6.9767,68194
36825,2000,10,26,64.746,8.08,61069
36826,2000,10,27,51.631,11.98,78374
36827,2000,10,28,44.72,8.5978,1.02E+05
36828,2000,10,29,47.186,9.1863,1.01E+05
36829,2000,10,30,54.301,7.6186,90623
36830,2000,10,31,57.833,6.3623,78847
36831,2000,11,1,62.651,11.195,69156
36832,2000,11,2,52.112,7.5272,85343
36833,2000,11,3,44.848,7.4222,1.10E+05
36834,2000,11,4,45.056,5.962,1.04E+05
36835,2000,11,5,52.104,12.011,93562
36836,2000,11,6,50.218,16.641,1.18E+05
36837,2000,11,7,40.161,9.6686,1.37E+05
36838,2000,11,8,38.772,7.0898,1.42E+05
36839,2000,11,9,36.435,12.164,1.77E+05
36840,2000,11,10,35.132,6.9873,1.66E+05
36841,2000,11,11,42.494,7.6669,1.31E+05
36842,2000,11,12,42.088,7.8576,1.34E+05
36843,2000,11,13,31.937,10.916,1.96E+05
36844,2000,11,14,29.664,10.973,2.11E+05
36845,2000,11,15,35.901,9.0863,1.81E+05
36846,2000,11,16,30.927,11.048,1.98E+05
36847,2000,11,17,26.24,9.4059,2.20E+05
36848,2000,11,18,25.746,10.293,2.19E+05
36849,2000,11,19,29.117,12.352,2.11E+05
36850,2000,11,20,19.707,12.568,2.47E+05
36851,2000,11,21,17.798,8.6139,2.55E+05
36852,2000,11,22,22.786,4.0986,2.21E+05
36853,2000,11,23,27.887,4.7084,1.99E+05
36854,2000,11,24,33.432,3.7072,1.71E+05
36855,2000,11,25,38.756,7.9854,1.54E+05
36856,2000,11,26,36.188,6.8562,1.69E+05
36857,2000,11,27,32.682,8.3084,2.03E+05
36858,2000,11,28,33.819,5.7581,1.93E+05
36859,2000,11,29,34.538,7.2182,1.96E+05
36860,2000,11,30,33.289,6.9308,1.96E+05
36861,2000,12,1,29.738,10.03,2.08E+05
36862,2000,12,2,26.367,5.4233,2.10E+05
36863,2000,12,3,28.895,9.3506,2.08E+05
36864,2000,12,4,25.455,14.459,2.40E+05
36865,2000,12,5,10.063,8.1143,2.91E+05
36866,2000,12,6,16.212,7.1995,2.78E+05
36867,2000,12,7,21.798,7.7163,2.41E+05
36868,2000,12,8,11.982,5.4363,2.60E+05
36869,2000,12,9,25.879,8.2094,2.26E+05
36870,2000,12,10,19.129,8.4448,2.29E+05
36871,2000,12,11,14.193,14.452,2.91E+05
36872,2000,12,12,1.9545,5.5158,3.18E+05
36873,2000,12,13,16.222,6.1879,2.78E+05
36874,2000,12,14,15.741,5.6748,2.66E+05
36875,2000,12,15,26.029,7.8005,2.41E+05
36876,2000,12,16,21.631,12.616,2.38E+05
36877,2000,12,17,4.1919,8.9825,3.17E+05
36878,2000,12,18,13.16,6.9734,3.07E+05
36879,2000,12,19,10.983,7.4729,2.92E+05
36880,2000,12,20,13.451,8.6748,2.81E+05
36881,2000,12,21,-1.7574,11.488,3.37E+05
36882,2000,12,22,2.8395,6.218,3.20E+05
36883,2000,12,23,8.2246,9.4776,2.99E+05
36884,2000,12,24,2.1804,7.1243,3.03E+05
36885,2000,12,25,8.7293,5.3139,2.91E+05
36886,2000,12,26,15.334,7.4261,2.77E+05
36887,2000,12,27,7.3888,5.9085,2.98E+05
36888,2000,12,28,18.192,6.0753,2.61E+05
36889,2000,12,29,24.139,8.9518,2.34E+05
36890,2000,12,30,25.012,8.8596,2.19E+05
36891,2000,12,31,15.511,4.9169,2.37E+05
36892,2001,1,1,12.222,5.6965,2.58E+05
36893,2001,1,2,12.275,9.7417,2.93E+05
36894,2001,1,3,22.814,7.8387,2.57E+05
36895,2001,1,4,29.169,12.527,2.39E+05
36896,2001,1,5,26.728,9.1664,2.16E+05
36897,2001,1,6,30.384,6.9037,1.92E+05
36898,2001,1,7,23.115,7.687,2.23E+05
36899,2001,1,8,15.59,6.1287,2.64E+05
36900,2001,1,9,20.818,9.8852,2.61E+05
36901,2001,1,10,30.023,7.9493,2.13E+05
36902,2001,1,11,32.241,3.5341,1.89E+05
36903,2001,1,12,34.089,4.6584,1.79E+05
36904,2001,1,13,33.673,9.1146,1.81E+05
36905,2001,1,14,34.095,5.5647,1.81E+05
36906,2001,1,15,32.501,9.453,2.01E+05
36907,2001,1,16,26.456,6.7365,2.19E+05
36908,2001,1,17,20.343,7.2802,2.45E+05
36909,2001,1,18,25.717,9.128,2.27E+05
36910,2001,1,19,13.838,8.3435,2.66E+05
36911,2001,1,20,13.672,6.5655,2.60E+05
36912,2001,1,21,15.509,3.4574,2.63E+05
36913,2001,1,22,24.762,7.9153,2.40E+05
36914,2001,1,23,23.953,7.0764,2.33E+05
36915,2001,1,24,19.441,8.6077,2.60E+05
36916,2001,1,25,21.023,7.9812,2.48E+05
36917,2001,1,26,23.216,9.8404,2.41E+05
36918,2001,1,27,17.431,8.1171,2.47E+05
36919,2001,1,28,25.197,5.2349,2.21E+05
36920,2001,1,29,34.824,9.5254,1.99E+05
36921,2001,1,30,33.823,6.6851,1.91E+05
36922,2001,1,31,28.075,7.7097,2.13E+05
36923,2001,2,1,11.003,11.75,2.79E+05
36924,2001,2,2,10.004,8.2287,2.98E+05
36925,2001,2,3,25.394,6.0386,2.33E+05
36926,2001,2,4,28.51,5.6053,2.09E+05
36927,2001,2,5,27.728,7.8139,2.17E+05
36928,2001,2,6,23.135,3.6265,2.24E+05
36929,2001,2,7,31.525,8.8555,2.11E+05
